FID,LICENSEE,CALLSIGN,LOCNUM,LAT_DMS,LATDIR,LON_DMS,LONDIR,LOCADD,LOCCITY,LOCCOUNTY,LOCSTATE,NEPA,QZONE,TOWREG,SUPSTRUC,ALLSTRUC,STRUCTYPE,LIC_ID,LONG,LAT
0,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,1,"37,0,9",N,"122,3,8",W,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ,CA,N, , ,30.800000000000001,42.100000000000001,TOWER,11518,-122.052213022000000,37.002504946199998
1,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,9,"36,58,40",N,"121,47,51",W,49 Crow Rd,Watsonville,SANTA CRUZ,CA,N, ,1057141,32.000000000000000,32.000000000000000,POLE,11518,-121.797512981000000,36.977804961600000
2,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,10,"36,59,31",N,"122,3,52",W,"College Eight,  200 Heller Drive",Santa Cruz,SANTA CRUZ,CA,N, , ,13.400000000000000,14.600000000000000,B,11518,-122.064413023000000,36.991904944700003
3,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,11,"36,56,24",N,"121,50,3",W,1253 Trabing Road,Watsonville,SANTA CRUZ,CA,N, ,1211537,15.199999999999999,17.100000000000001,POLE,11518,-121.834212982000000,36.940004955900001
4,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,12,"36,54,40",N,"121,45,30",W,15 West Lake Street,Watsonville,SANTA CRUZ,CA,N, , ,22.600000000000001,25.300000000000001,B,11518,-121.758312968000000,36.911104958400003
5,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,13,"36,55,59",N,"121,47,13",W,370 AIRPORT BLVD,WATSONVILLE,SANTA CRUZ,CA,N, ,1057387,33.799999999999997,37.500000000000000,TOWER,11518,-121.786912974000000,36.933104958400001
6,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,14,"36,54,46",N,"121,38,25",W,2350 Riverside Drive,Watsonville,SANTA CRUZ,CA,N, , ,11.300000000000001,13.400000000000000,POLE,11518,-121.640312949000010,36.912804966400003
7,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,15,"37,8,2",N,"121,58,52",W,22970 HWY 17,LOS GATOS,SANTA CRUZ,CA,N, , ,24.699999999999999,24.699999999999999,POLE,11518,-121.981113026000000,37.133904963100001
8,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,16,"37,7,18",N,"122,9,22",W,12500 Empire Grade Road,Santa Cruz,SANTA CRUZ,CA,N, , ,25.000000000000000,25.000000000000000,POLE,11518,-122.156113051000010,37.121704949600002
9,"NEW CINGULAR WIRELESS PCS, LLC",KNKA529,17,"37,0,44",N,"122,1,34",W,1339 LA MADRONNA DRIVE,Santa Cruz,SANTA CRUZ,CA,N, , ,18.899999999999999,21.600000000000001,TOWER,11518,-122.026113018999990,37.012204948899999
10,"NEW CINGULAR WIRELESS PCS, LLC",KNKN252,1,"38,43,24",N,"120,45,50",W,PLACERVILLE AIRPORT,PLACERVILLE,EL DORADO,CA,N, , ,0.000000000000000,0.000000000000000, ,11657,-120.763913018000000,38.723305190399998
11,"NEW CINGULAR WIRELESS PCS, LLC",KNKN252,2,"38,38,36",N,"121,5,30",W,US 50,FOLSOM,SACRAMENTO,CA,N, , ,0.000000000000000,0.000000000000000, ,11657,-121.091713060999990,38.643305158899999
12,"NEW CINGULAR WIRELESS PCS, LLC",KNKN252,4,"38,48,9",N,"120,2,44",W,Approximately 2 miles SE of Phillips,Phillips,EL DORADO,CA,N, , ,21.300000000000001,32.000000000000000,TOWER,11657,-120.045612911000010,38.802505252000003
13,"NEW CINGULAR WIRELESS PCS, LLC",KNKN252,5,"38,45,23",N,"120,33,17",W,UNION HILL 1.5 MI EAST OF POLLOCK PINES,POLLOCK PINES,EL DORADO,CA,N, , ,0.000000000000000,0.000000000000000, ,11657,-120.554712988000010,38.756405209100002
14,"NEW CINGULAR WIRELESS PCS, LLC",KNKN252,6,"38,50,31",N,"120,24,26",W,Approx. 4.6 Miles North of,White Hall,EL DORADO,CA,N, , ,0.000000000000000,0.000000000000000, ,11657,-120.407212974999990,38.841905228000002
15,"NEW CINGULAR WIRELESS PCS, LLC",KNKN252,7,"38,31,0",N,"120,28,48",W,29301 Dew Drop Cutoff,Cooks,AMADOR,CA,N, , ,0.000000000000000,0.000000000000000, ,11657,-120.480012947000010,38.516705193699998
16,"NEW CINGULAR WIRELESS PCS, LLC",KNKN252,8,"38,40,58",N,"121,4,31",W,1021 HARVARD WAY,EL DORADO HILLS,EL DORADO,CA,N, , ,9.100000000000000,10.400000000000000,B,11657,-121.075313063000000,38.682805163499999
17,Cellco Partnership,KNKN228,1,"35,55,33",N,"117,54,47",W,1500 Myrtle Avenue,LITTLE LAKE,INYO,CA,N, , ,18.300000000000001,24.399999999999999,TOWER,11663,-117.913112239000000,35.925805114600003
18,Cellco Partnership,KNKN228,2,"36,11,36",N,"118,0,30",W,1730 SAGA FLATS RD A,HAIWEE,INYO,CA,N, , ,45.700000000000003,50.299999999999997,TOWER,11663,-118.008312281000000,36.193305137599999
19,Cellco Partnership,KNKN228,3,"37,21,32",N,"118,23,49",W,350 Lagoon Street,BISHOP,INYO,CA,N, ,1201460,32.000000000000000,38.100000000000001,TOWER,11663,-118.396912468000000,37.358905232100000
20,Cellco Partnership,KNKN228,4,"37,38,54",N,"118,58,13",W,470039  PINECREST AVE.,MAMMOUTH LAKES,MONO,CA,N, , ,25.899999999999999,32.000000000000000,TOWER,11663,-118.970312597000000,37.648305221199998
21,Cellco Partnership,KNKN228,5,"37,3,26",N,"118,14,35",W,ON FISH SPRING RD 7.8 MI SE OF BIG PINE,POVERTY HILLS,INYO,CA,N, ,1017041,22.800000000000001,28.899999999999999,TOWER,11663,-118.243112409000010,37.057205212299998
22,Cellco Partnership,KNKN228,6,"37,32,40",N,"118,37,55",W,"Hwy 395, 3 mi SE of Tom's Place",Sherwin Summit,MONO,CA,N, , ,20.699999999999999,22.199999999999999,MAST,11663,-118.631912528000000,37.544505235099997
23,Cellco Partnership,KNKN228,7,"37,45,55",N,"118,58,54",W,(Crestview site) 5 MI ESE,June Lake,MONO,CA,N, , ,15.199999999999999,21.300000000000001,TOWER,11663,-118.981712612000000,37.765305232300001
24,Cellco Partnership,KNKN228,8,"38,5,15",N,"119,10,37",W,Conway Summit,LEE VINING,MONO,CA,N, , ,16.800000000000001,20.800000000000001,TOWER,11663,-119.176912681000000,38.087505249099998
25,Cellco Partnership,KNKN228,9,"36,36,58",N,"118,2,32",W,1303 LONE PINE NARROW GAGE RD,Lone Pine,INYO,CA,N, ,1017042,24.300000000000001,30.399999999999999,TOWER,11663,-118.042212328999990,36.616105179999998
26,Cellco Partnership,KNKN228,11,"36,47,55",N,"118,9,34",W,Mazourka Canyon Rd & Los Angeles Viaduct  (CA10426-A),INDEPENDENCE,INYO,CA,N, ,1222609,92.700000000000003,94.500000000000000,TOWER,11663,-118.159412368000010,36.798605190899998
27,Cellco Partnership,KNKN228,10,"35,34,43",N,"117,42,30",W,2600 S. China Lake Blvd.,Ridgecrest,KERN,CA,N, , ,36.600000000000001,40.200000000000003,POLE,11663,-117.708312171000000,35.578605089500002
28,Cellco Partnership,KNKN228,12,"37,56,43",N,"119,6,45",W,22 Vista Point Dr,Lee Vining,MONO,CA,N, ,1266422,16.199999999999999,18.300000000000001,MAST,11663,-119.112512654000000,37.945305240300002
